# n=270
z c strct
-1.160000e+00 3.344140e-02 mart
-1.149796e+00 3.344140e-02 mart
-1.139592e+00 3.344140e-02 mart
-1.129388e+00 3.344140e-02 mart
-1.119184e+00 3.344140e-02 mart
-1.108980e+00 3.344140e-02 mart
-1.098776e+00 3.344140e-02 mart
-1.088571e+00 3.344140e-02 mart
-1.078367e+00 3.344140e-02 mart
-1.068163e+00 3.344139e-02 mart
-1.057959e+00 3.344138e-02 mart
-1.047755e+00 3.344137e-02 mart
-1.037551e+00 3.344134e-02 mart
-1.027347e+00 3.344129e-02 mart
-1.017143e+00 3.344120e-02 mart
-1.006939e+00 3.344104e-02 mart
-9.967347e-01 3.344076e-02 mart
-9.865306e-01 3.344028e-02 mart
-9.763265e-01 3.343947e-02 mart
-9.661224e-01 3.343812e-02 mart
-9.559184e-01 3.343590e-02 mart
-9.457143e-01 3.343232e-02 mart
-9.355102e-01 3.342659e-02 mart
-9.253061e-01 3.341758e-02 mart
-9.151020e-01 3.340363e-02 mart
-9.048980e-01 3.338233e-02 mart
-8.946939e-01 3.335032e-02 mart
-8.844898e-01 3.330296e-02 mart
-8.742857e-01 3.323397e-02 mart
-8.640816e-01 3.313508e-02 mart
-8.538776e-01 3.299560e-02 mart
-8.436735e-01 3.280211e-02 mart
-8.334694e-01 3.253816e-02 mart
-8.232653e-01 3.218419e-02 mart
-8.130612e-01 3.171770e-02 mart
-8.028571e-01 3.111373e-02 mart
-7.926531e-01 3.034579e-02 mart
-7.824490e-01 2.938718e-02 mart
-7.722449e-01 2.821272e-02 mart
-7.620408e-01 2.680084e-02 mart
-7.518367e-01 2.513573e-02 mart
-7.416327e-01 2.320933e-02 mart
-7.314286e-01 2.102302e-02 mart
-7.212245e-01 1.858856e-02 mart
-7.110204e-01 1.592821e-02 mart
-7.008163e-01 1.307397e-02 mart
-6.906122e-01 1.006605e-02 mart
-6.804082e-01 6.950616e-03 mart
-6.702041e-01 3.777300e-03 mart
-6.600000e-01 5.965914e-04 mart
-6.600000e-01 1.571871e-01 aus1
-6.566704e-01 1.511319e-01 aus1
-6.533408e-01 1.425646e-01 aus1
-6.500113e-01 1.285737e-01 aus1
-6.466817e-01 9.717137e-02 aus1
-6.433521e-01 3.717233e-02 aus1
-6.400225e-01 3.348032e-02 aus1
-6.366929e-01 3.344178e-02 aus1
-6.333634e-01 3.344140e-02 aus1
-6.300338e-01 3.344140e-02 aus1
-6.267042e-01 3.344140e-02 aus1
-6.233746e-01 3.344140e-02 aus1
-6.200450e-01 3.344140e-02 aus1
-6.167155e-01 3.344140e-02 aus1
-6.133859e-01 3.344140e-02 aus1
-6.100563e-01 3.344140e-02 aus1
-6.067267e-01 3.344140e-02 aus1
-6.033971e-01 3.344140e-02 aus1
-6.000676e-01 3.344140e-02 aus1
-5.967380e-01 3.344140e-02 aus1
-5.934084e-01 3.344140e-02 aus1
-5.900788e-01 3.344140e-02 aus1
-5.867492e-01 3.344140e-02 aus1
-5.834197e-01 3.344140e-02 aus1
-5.800901e-01 3.344140e-02 aus1
-5.767605e-01 3.344140e-02 aus1
-5.734309e-01 3.344140e-02 aus1
-5.701013e-01 3.344140e-02 aus1
-5.667718e-01 3.344140e-02 aus1
-5.634422e-01 3.344140e-02 aus1
-5.601126e-01 3.344140e-02 aus1
-5.567830e-01 3.344140e-02 aus1
-5.534534e-01 3.344140e-02 aus1
-5.501239e-01 3.344140e-02 aus1
-5.467943e-01 3.344140e-02 aus1
-5.434647e-01 3.344140e-02 aus1
-5.401351e-01 3.344140e-02 aus1
-5.368055e-01 3.344140e-02 aus1
-5.334760e-01 3.344140e-02 aus1
-5.301464e-01 3.344140e-02 aus1
-5.268168e-01 3.344140e-02 aus1
-5.234872e-01 3.344140e-02 aus1
-5.201576e-01 3.344140e-02 aus1
-5.168281e-01 3.344140e-02 aus1
-5.134985e-01 3.344140e-02 aus1
-5.101689e-01 3.344140e-02 aus1
-5.068393e-01 3.344140e-02 aus1
-5.035097e-01 3.344140e-02 aus1
-5.001802e-01 3.344140e-02 aus1
-4.968506e-01 3.344140e-02 aus1
-4.935210e-01 3.344140e-02 aus1
-4.901914e-01 3.344140e-02 aus1
-4.868618e-01 3.344140e-02 aus1
-4.835323e-01 3.344140e-02 aus1
-4.802027e-01 3.344140e-02 aus1
-4.768731e-01 3.344140e-02 aus1
-4.735435e-01 3.344140e-02 aus1
-4.702139e-01 3.344140e-02 aus1
-4.668844e-01 3.344140e-02 aus1
-4.635548e-01 3.344140e-02 aus1
-4.602252e-01 3.344140e-02 aus1
-4.568956e-01 3.344140e-02 aus1
-4.535660e-01 3.344140e-02 aus1
-4.502365e-01 3.344140e-02 aus1
-4.469069e-01 3.344140e-02 aus1
-4.435773e-01 3.344140e-02 aus1
-4.402477e-01 3.344140e-02 aus1
-4.369181e-01 3.344140e-02 aus1
-4.335886e-01 3.344140e-02 aus1
-4.302590e-01 3.344140e-02 aus1
-4.269294e-01 3.344140e-02 aus1
-4.235998e-01 3.344140e-02 aus1
-4.202702e-01 3.344140e-02 aus1
-4.169407e-01 3.344140e-02 aus1
-4.136111e-01 3.344140e-02 aus1
-4.102815e-01 3.344140e-02 aus1
-4.069519e-01 3.344140e-02 aus1
-4.036223e-01 3.344140e-02 aus1
-4.002928e-01 3.344140e-02 aus1
-3.969632e-01 3.344140e-02 aus1
-3.936336e-01 3.344140e-02 aus1
-3.903040e-01 3.344140e-02 aus1
-3.869744e-01 3.344140e-02 aus1
-3.836449e-01 3.344140e-02 aus1
-3.803153e-01 3.344140e-02 aus1
-3.769857e-01 3.344140e-02 aus1
-3.736561e-01 3.344140e-02 aus1
-3.703265e-01 3.344140e-02 aus1
-3.669970e-01 3.344140e-02 aus1
-3.636674e-01 3.344140e-02 aus1
-3.603378e-01 3.344140e-02 aus1
-3.570082e-01 3.344140e-02 aus1
-3.536786e-01 3.344140e-02 aus1
-3.503491e-01 3.344140e-02 aus1
-3.470195e-01 3.344140e-02 aus1
-3.436899e-01 3.344141e-02 aus1
-3.403603e-01 3.344196e-02 aus1
-3.370307e-01 3.347183e-02 aus1
-3.337012e-01 3.460305e-02 aus1
-3.303716e-01 5.041738e-02 aus1
-3.303716e-01 2.105689e-05 fer1
-3.302890e-01 2.105679e-05 fer1
-3.302064e-01 2.105670e-05 fer1
-3.301239e-01 2.105660e-05 fer1
-3.300413e-01 2.105651e-05 fer1
-3.299587e-01 2.105641e-05 fer1
-3.298761e-01 2.105631e-05 fer1
-3.297936e-01 2.105622e-05 fer1
-3.297110e-01 2.105612e-05 fer1
-3.296284e-01 2.105603e-05 fer1
-3.296284e-01 5.041623e-02 aus2
-3.263029e-01 3.461122e-02 aus2
-3.229774e-01 3.347251e-02 aus2
-3.196519e-01 3.344199e-02 aus2
-3.163263e-01 3.344141e-02 aus2
-3.130008e-01 3.344140e-02 aus2
-3.096753e-01 3.344140e-02 aus2
-3.063498e-01 3.344140e-02 aus2
-3.030243e-01 3.344140e-02 aus2
-2.996988e-01 3.344140e-02 aus2
-2.963732e-01 3.344140e-02 aus2
-2.930477e-01 3.344140e-02 aus2
-2.897222e-01 3.344140e-02 aus2
-2.863967e-01 3.344140e-02 aus2
-2.830712e-01 3.344140e-02 aus2
-2.797457e-01 3.344140e-02 aus2
-2.764201e-01 3.344140e-02 aus2
-2.730946e-01 3.344140e-02 aus2
-2.697691e-01 3.344140e-02 aus2
-2.664436e-01 3.344140e-02 aus2
-2.631181e-01 3.344140e-02 aus2
-2.597926e-01 3.344140e-02 aus2
-2.564670e-01 3.344140e-02 aus2
-2.531415e-01 3.344140e-02 aus2
-2.498160e-01 3.344140e-02 aus2
-2.464905e-01 3.344140e-02 aus2
-2.431650e-01 3.344140e-02 aus2
-2.398395e-01 3.344140e-02 aus2
-2.365140e-01 3.344140e-02 aus2
-2.331884e-01 3.344140e-02 aus2
-2.298629e-01 3.344140e-02 aus2
-2.265374e-01 3.344140e-02 aus2
-2.232119e-01 3.344140e-02 aus2
-2.198864e-01 3.344140e-02 aus2
-2.165609e-01 3.344140e-02 aus2
-2.132353e-01 3.344140e-02 aus2
-2.099098e-01 3.344140e-02 aus2
-2.065843e-01 3.344140e-02 aus2
-2.032588e-01 3.344140e-02 aus2
